Active,Airline,AirlineID,Alias,Callsign,Country,IATA,ICAO
N,1-2-go,9018,fly 1-2-go,"",Thailand,OG,\N
N,135 Airways,2,\N,GENERAL,United States,"",GNL
N,2 Sqn No 1 Elementary Flying Training School,4,\N,"",United Kingdom,"",WYT
N,213 Flight Unit,5,\N,"",Russia,"",TFU
N,223 Flight Unit State Airline,6,\N,CHKALOVSK-AVIA,Russia,"",CHD
N,224th Flight Unit,7,\N,CARGO UNIT,Russia,"",TTF
N,247 Jet Ltd,8,\N,CLOUD RUNNER,United Kingdom,"",TWF
N,3 Valleys Airlines,18896,"",3 Valleys,France,3V,VA3
N,3D Aviation,9,\N,SECUREX,United States,"",SEC
N,4D Air,11,\N,QUARTET,Thailand,"",QRT
N,611897 Alberta Limited,12,\N,DONUT,Canada,"",THD
N,84 Squadron Royal Air Force @ RAF Akrotiri,3672,\N,GRIFTER,United Kingdom,"",AKG
N,A J Services,232,\N,AYJAY SERVICES,United Kingdom,"",AJA
N,A2 Jet Leasing,237,\N,ATLANTIC JET,United States,"",AJJ
N,AASANA,742,\N,"",Bolivia,"",XXV
N,Aba Air,207,\N,BAIR,Czech Republic,"",ABP
N,Ababeel Aviation,656,\N,BABEL AIR,Sudan,"",BBE
N,Abaet,43,\N,Abaet,Brazil,"",ABJ
N,Abakan-Avia,41,\N,ABAKAN-AVIA,Russia,"",ABG
N,Aban Air,39,\N,ABAN,Iran,K5,ABE
N,Abas,1092,\N,ABAS,Czech Republic,"",MRP
N,ABC Aerolineas,202,\N,ABC AEROLINEAS,Mexico,"",AIJ
N,ABC Air Hungary,195,\N,ABC HUNGARY,Hungary,"",AHU
N,ABC Bedarsflug,895,\N,FLY TYROL,Austria,"",FTY
N,Abelag Aviation,15,\N,ABG,Belgium,W9,AAB
N,Abicar,75,\N,ABICAR,Ivory Coast,"",ADJ
N,Aboitiz Air,583,\N,ABAIR,Philippines,"",BOI
N,ABX Air,50,\N,ABEX,United States,GB,ABX
N,AC Challenge Aero,1725,\N,SKY CHALLENGER,Ukraine,"",CHG
N,AC Insat-Aero,950,\N,"",Russia,"",IAE
N,ACA-Ancargo Air Sociedade de Transporte de Carga Lda,1111,\N,ANCARGO AIR,Angola,"",NCL
N,Academy Airlines,53,\N,ACADEMY,United States,"",ACD
N,ACEF,757,\N,ACEF,Portugal,"",CFM
N,ACM Air Charter,276,\N,BAVARIAN,Germany,"",BVR
N,ACM Aviation,387,\N,BAY JET,United States,"",BJT
N,ACT Havayollari,1239,\N,CARGO TURK,Turkey,"",RUN
N,Action Air,1134,\N,AVIATION SERVICE,Italy,"",ORS
N,Action Airlines (Action Air Charter),579,\N,ACTION AIR,United States,"",AXQ
N,Active Aero Charter,531,\N, Inc.,ACTIVE AERO,"",AVR
N,Acvila Air-Romanian Carrier,1228,\N,AIR ROMANIA,Romania,"",RRM
N,ADC Airlines,76,\N,ADCO,Nigeria,Z7,ADK
N,Addis Air Cargo Services,820,\N,ADDIS CARGO,Ethiopia,"",DSC
N,Adler Aviation,1286,\N,SHOCKWAVE,Canada,"",SWH
N,Advance Air Charters,87,\N,ADVANCE,Canada,"",ADV
N,Advance Aviation Services,631,\N,"",United States,"",XTJ
N,Advance Leasing Company,66,\N,"",United States,4G,""
N,Advanced Air Co.,71,\N,"",Japan,"",ADD
N,Adygeya Airlines,1186,\N,ADLINES,Russia,"",RDD
N,Aer Turas,487,\N,AERTURAS,Ireland,"",ATT
N,Aerea Flying Training Organization,73,\N,AEREA TRAINING,Spain,"",ADG
N,Aereo Taxi Paraza,1160,\N,AEREO PARAZA,Mexico,"",PZA
N,Aereos Limited,893,\N,FAST TRACK,United Kingdom,"",FST
N,Aereotaxis,1325,\N,AEREOTAXIS,Mexico,"",TXI
N,AERFI Group,170,\N,AIR TARA,Ireland,"",AGP
N,Aerial Oy,40,\N,SKYWINGS,Finland,"",ABF
N,Aerial Surveys (1980) Limited,1284,\N,SURVEY,New Zealand,"",SUY
N,Aerial Transit Company,117,\N,AERIAL TRANZ,United States,"",AEZ
N,Aeriantur-M,1061,\N,AEREM,Moldova,"",MBV
N,Aéris (Priv),9814,"","",France,SH,\N
N,Aeris Gestion,1199,\N,AERIS,Spain,"",RIS
N,Aerlineas Centauro,785,\N,CENTAURO,Mexico,"",CTR
N,Aerlineas Del Oeste,455,\N,AEROESTE,Mexico,"",AST
N,Aerloineas de Techuacan,434,\N,LINEAS TEHUACAN,Mexico,"",HUC
N,Aermarche,1077,\N,AERMARCHE,Italy,"",MMC
N,Aero 1 Pro-Jet,1279,\N,RAPID,Canada,"",SSM
N,Aero Africa,1193,\N,AERO AFRICA,Swaziland,"",RFC
N,Aero Air,672,\N,WILLIAMETTE,United States,"",WIL
N,Aero Airline,954,\N,ILEK,Kazakhstan,"",ILK
N,Aero Airlines,828,\N,REVAL,Estonia,EE,EAY
N,Aero Albatros,20,\N,ALBATROS ESPANA,Spain,"",ABM
N,Aero Albatros,268,\N,ALBATROS,Mexico,"",ALB
N,Aero Algarve,821,\N,SKYBANNER,Portugal,"",DSK
N,Aero Asia International,60,\N,AERO ASIA,Pakistan,E4,RSO
N,Aero Aviation Centre Ltd.,17,\N,SUNRISE,Canada,"",AAD
N,Aero Banobras,181,\N,AEROBANOBRAS,Mexico,"",BNB
N,Aero Barloz,178,\N,AEROLOZ,Mexico,"",BLZ
N,Aero BG,545,\N,AERO BG,Mexico,"",BGG
N,Aero Biniza,19,\N,BINIZA,Mexico,"",BZS
N,Aero Brazil,13838,"","",Brazil,BZ,BZL
N,Aero Business Charter,899,\N,GLOBAL JET,Germany,"",GBJ
N,Aero Cabo,750,\N,CABOAEREO,Mexico,"",CBV
N,Aero Calafia,759,\N,CALAFIA,Mexico,"",CFV
N,Aero California,1257,\N,AEROCALIFORNIA,Mexico,JR,SER
N,Aero Charter,912,\N,GASLIGHT,United States,"",GLT
N,Aero Charter and Transport,783,\N,CHAR-TRAN,United States,"",CTA
N,Aero Charter Krifka,989,\N,KRIFKA AIR,Austria,"",KFK
N,Aero Citro,967,\N,AERO CITRO,Mexico,"",ITO
N,Aero Club De Portugal,770,\N,CLUB PORTUGAL,Portugal,"",CLP
N,Aero Clube Do Algarve,761,\N,CLUBE ALGARVE,Portugal,"",CGV
N,Aero Coach Aviation,274,\N,AERO COACH,United States,"",DFA
