Codeshare,DestinationAirport,Equipment,Index,SourceAirport,Stops
"",AAE,319,67473,MRS,0
"",AAE,319,67488,ORY,0
"",AAE,736,10240,ORY,0
"",AAE,738,10136,CDG,0
"",AAE,738,10182,IST,0
"",AAE,738,10190,LYS,0
"",AAE,738,10201,MRS,0
"",AAE,ATR,10222,ORN,0
"",AAE,ATR 736 738,10050,ALG,0
"",AAL,319 738,49986,IST,0
"",AAL,319 738,52297,BLL,0
"",AAL,319 738,52447,IST,0
"",AAL,320,62098,BCN,0
"",AAL,320 CR2 319 CR9 321,49844,CPH,0
"",AAL,73H,22199,AGP,0
"",AAL,73H,22217,ALC,0
"",AAL,73H,22505,LGW,0
"",AAL,73H,22659,PMI,0
"",AAL,73H 73G,50053,OSL,0
"",AAL,73H AT7,22366,CPH,0
"",AAL,J31,12849,OSL,0
"",AAL,S20,49724,ARN,0
"",AAL,SF3,22176,BLL,0
"",AAL,SF3,22187,SVG,0
"",AAL,SWM,39904,OSL,0
"",AAN,734,43617,PEW,0
"",AAN,738,33558,CCJ,0
"",AAQ,320,48488,DME,0
"",AAQ,320 319,50897,LED,0
"",AAQ,320 319,51038,SVO,0
"",AAR,738,25832,AGP,0
"",AAR,738,27568,PMI,0
"",AAR,738,27861,STN,0
"",AAR,AT7 320 CR2,49845,CPH,0
"",AAT,73G E90,19253,URC,0
"",AAT,E90,30440,URC,0
"",AAX,AT4,8745,PLU,0
"",AAY,CR7,25786,SAH,0
"",ABA,320,48489,DME,0
"",ABA,320,51039,SVO,0
"",ABA,738,65944,NSK,0
"",ABA,AN4,33302,IKT,0
"",ABB,73G,62501,ABV,0
"",ABB,73G,62545,LOS,0
"",ABD,100,23505,SYZ,0
"",ABD,100,23527,THR,0
"",ABD,100 M82,33466,MHD,0
"",ABD,M82,14361,MHD,0
"",ABD,M82,14383,THR,0
"",ABD,M82 100,33513,THR,0
"",ABE,320 M80,29161,SFB,0
"",ABE,717,20057,ATL,0
"",ABE,DH3,6399,PHL,0
"",ABE,M80,29068,MYR,0
"",ABE,M80,29082,PGD,0
"",ABE,M80 320,29105,PIE,0
"",ABI,ERD ER4,59013,DFW,0
"",ABJ,143,48749,ACC,0
"",ABJ,319,30730,BKO,0
"",ABJ,319,30736,DKR,0
"",ABJ,319,30737,DLA,0
"",ABJ,319,30738,LBV,0
"",ABJ,319 E70,30728,ACC,0
"",ABJ,320,21998,COO,0
"",ABJ,320,22004,DKR,0
"",ABJ,320,54195,TUN,0
"",ABJ,332,40041,ACC,0
"",ABJ,332,40096,LOS,0
"",ABJ,332,48757,ACC,0
"",ABJ,332,50305,COO,0
"",ABJ,333,50364,OUA,0
"",ABJ,333,50635,ORY,0
"",ABJ,333 332,50215,BRU,0
"",ABJ,737,46727,LOS,0
"",ABJ,738,10051,ALG,0
"",ABJ,738,41136,ACC,0
"",ABJ,739,52225,ACC,0
"",ABJ,73G,37519,BKO,0
"",ABJ,73G,37528,COO,0
"",ABJ,73G 738,12088,CMN,0
"",ABJ,73W 738,37200,DKR,0
"",ABJ,73W 738,37250,NBO,0
"",ABJ,73W 752,23738,COO,0
"",ABJ,752,23911,OUA,0
"",ABJ,772,9259,CDG,0
"",ABJ,77W,23064,ACC,0
"",ABJ,CR9,62546,LOS,0
"",ABJ,CRJ,88,BOY,0
"",ABJ,DH8,23733,CKY,0
"",ABJ,DH8,23850,LFW,0
"",ABJ,E70,30732,CKY,0
"",ABJ,E70,30733,COO,0
"",ABJ,E70,30743,OUA,0
"",ABJ,E70 319,30741,LFW,0
"",ABJ,E70 CRJ M87,96,OUA,0
"",ABJ,M82,22773,ACC,0
"",ABJ,M82,22776,FNA,0
"",ABJ,M82,22780,ROB,0
"",ABJ,M87,85,BKO,0
"",ABL,CNC,3008,OBU,0
"",ABL,CNC,3023,OTZ,0
"",ABM,DH1,46604,CNS,0
"",ABQ,320,14048,JFK,0
"",ABQ,320,21338,MSP,0
"",ABQ,320 738 73G,56705,IAH,0
"",ABQ,733 73C,64243,PDX,0
"",ABQ,733 73W,64013,MCI,0
"",ABQ,73C 733 73W,63670,DAL,0
"",ABQ,73C 733 73W,63831,HOU,0
"",ABQ,73C 73W 733,63912,LAS,0
"",ABQ,73C 73W 733,63969,LAX,0
"",ABQ,73C 73W 733,64416,SEA,0
"",ABQ,73W,25035,DEN,0
"",ABQ,73W,63585,BWI,0
"",ABQ,73W,64078,MDW,0
"",ABQ,73W,64197,OAK,0
"",ABQ,73W 735 73C 733,64265,PHX,0
"",ABQ,73W 73C,63700,DEN,0
"",ABQ,73W 73C,64372,SAN,0
"",ABQ,757 320,20058,ATL,0
"",ABQ,CNC,39531,CNM,0
"",ABQ,CNC,39536,LAM,0
"",ABQ,M80 M83,5162,DFW,0
"",ABQ,M80 M83,59014,DFW,0
"",ABS,E70,41147,ASW,0
"",ABT,320,51295,DMM,0
"",ABT,320,51372,JED,0
"",ABT,320,51511,RUH,0
"",ABV,332,9260,CDG,0
"",ABV,332,9876,PHC,0
"",ABV,343,38210,FRA,0
"",ABV,343,38773,SSG,0
"",ABV,738,41166,CAI,0
"",ABV,738 73G,62547,LOS,0
"",ABV,73G,62498,ABB,0
"",ABV,73G,62523,CBQ,0
"",ABV,73G,62531,ENU,0
"",ABV,73G,62564,PHC,0
"",ABV,73G DH4,62566,QOW,0
"",ABV,777,14660,LHR,0
"",ABV,77L,23627,ADD,0
"",ABV,CR9,62516,ACC,0
"",ABV,CR9,62537,ILR,0
"",ABV,CR9 73G,62521,BNI,0
"",ABV,CR9 73G,62572,SKO,0
"",ABV,CR9 73G,62573,YOL,0
"",ABV,CR9 DH4,62535,GMO,0
"",ABV,DH4,62536,IBA,0
"",ABV,DH4,62542,KAN,0
"",ABV,DH4,62568,QRW,0
"",ABX,SF3,67607,MEL,0
"",ABX,SF3,67634,SYD,0
"",ABZ,319,54912,LGW,0
"",ABZ,319 320,55063,LTN,0
"",ABZ,320 319 321,14661,LHR,0
"",ABZ,333,58273,LHR,0
"",ABZ,735,15769,RIX,0
"",ABZ,735,38211,FRA,0
"",ABZ,736 73G,50136,SVG,0
"",ABZ,736 73W 73H,50054,OSL,0
"",ABZ,CR9 CR2,49846,CPH,0
"",ABZ,DH4,15050,BHD,0
"",ABZ,DH4,63305,SVG,0
"",ABZ,DH4 DH3,63156,BGO,0
"",ABZ,E70,9261,CDG,0
"",ABZ,E75 DH4,15062,BHX,0
"",ABZ,E75 DH4,15223,MAN,0
"",ABZ,EMJ 737 F70,36175,AMS,0
