AirportID,City,Altitude,DST,Country,ICAO,IATA,Latitude,Longitude,Name,Source,Timezone,Type,TZDatabaseTimezone
1,Goroka,5282,U,Papua New Guinea,AYGA,GKA,-6.081689834590001,145.391998291,Goroka Airport,OurAirports,10,airport,Pacific/Port_Moresby
2,Madang,20,U,Papua New Guinea,AYMD,MAG,-5.20707988739,145.789001465,Madang Airport,OurAirports,10,airport,Pacific/Port_Moresby
3,Mount Hagen,5388,U,Papua New Guinea,AYMH,HGU,-5.826789855957031,144.29600524902344,Mount Hagen Kagamuga Airport,OurAirports,10,airport,Pacific/Port_Moresby
4,Nadzab,239,U,Papua New Guinea,AYNZ,LAE,-6.569803,146.725977,Nadzab Airport,OurAirports,10,airport,Pacific/Port_Moresby
5,Port Moresby,146,U,Papua New Guinea,AYPY,POM,-9.443380355834961,147.22000122070312,Port Moresby Jacksons International Airport,OurAirports,10,airport,Pacific/Port_Moresby
6,Wewak,19,U,Papua New Guinea,AYWK,WWK,-3.58383011818,143.669006348,Wewak International Airport,OurAirports,10,airport,Pacific/Port_Moresby
7,Narssarssuaq,112,E,Greenland,BGBW,UAK,61.1604995728,-45.4259986877,Narsarsuaq Airport,OurAirports,-3,airport,America/Godthab
8,Godthaab,283,E,Greenland,BGGH,GOH,64.19090271,-51.6781005859,Godthaab / Nuuk Airport,OurAirports,-3,airport,America/Godthab
9,Sondrestrom,165,E,Greenland,BGSF,SFJ,67.0122218992,-50.7116031647,Kangerlussuaq Airport,OurAirports,-3,airport,America/Godthab
10,Thule,251,E,Greenland,BGTL,THU,76.5311965942,-68.7032012939,Thule Air Base,OurAirports,-4,airport,America/Thule
11,Akureyri,6,N,Iceland,BIAR,AEY,65.66000366210938,-18.07270050048828,Akureyri Airport,OurAirports,0,airport,Atlantic/Reykjavik
12,Egilsstadir,76,N,Iceland,BIEG,EGS,65.2833023071289,-14.401399612426758,Egilsstaðir Airport,OurAirports,0,airport,Atlantic/Reykjavik
13,Hofn,24,N,Iceland,BIHN,HFN,64.295601,-15.2272,Hornafjörður Airport,OurAirports,0,airport,Atlantic/Reykjavik
14,Husavik,48,N,Iceland,BIHU,HZK,65.952301,-17.426001,Húsavík Airport,OurAirports,0,airport,Atlantic/Reykjavik
15,Isafjordur,8,N,Iceland,BIIS,IFJ,66.05809783935547,-23.135299682617188,Ísafjörður Airport,OurAirports,0,airport,Atlantic/Reykjavik
16,Keflavik,171,N,Iceland,BIKF,KEF,63.985000610352,-22.605600357056,Keflavik International Airport,OurAirports,0,airport,Atlantic/Reykjavik
17,Patreksfjordur,11,N,Iceland,BIPA,PFJ,65.555801,-23.965,Patreksfjörður Airport,OurAirports,0,airport,Atlantic/Reykjavik
18,Reykjavik,48,N,Iceland,BIRK,RKV,64.1299972534,-21.9405994415,Reykjavik Airport,OurAirports,0,airport,Atlantic/Reykjavik
19,Siglufjordur,10,N,Iceland,BISI,SIJ,66.133301,-18.9167,Siglufjörður Airport,OurAirports,0,airport,Atlantic/Reykjavik
20,Vestmannaeyjar,326,N,Iceland,BIVM,VEY,63.42430114746094,-20.278900146484375,Vestmannaeyjar Airport,OurAirports,0,airport,Atlantic/Reykjavik
21,Sault Sainte Marie,630,A,Canada,CYAM,YAM,46.48500061035156,-84.5093994140625,Sault Ste Marie Airport,OurAirports,-5,airport,America/Toronto
22,Winnipeg,760,A,Canada,CYAV,\N,50.0564002991,-97.03250122070001,Winnipeg / St. Andrews Airport,OurAirports,-6,airport,America/Winnipeg
23,Halifax,144,A,Canada,CYAW,\N,44.639702,-63.499401,Halifax / CFB Shearwater Heliport,OurAirports,-4,airport,America/Halifax
24,St. Anthony,108,A,Canada,CYAY,YAY,51.3918991089,-56.083099365200006,St. Anthony Airport,OurAirports,-3.5,airport,America/St_Johns
25,Tofino,80,A,Canada,CYAZ,YAZ,49.079833,-125.775583,Tofino / Long Beach Airport,OurAirports,-8,airport,America/Vancouver
26,Pelly Bay,56,A,Canada,CYBB,YBB,68.534401,-89.808098,Kugaaruk Airport,OurAirports,-7,airport,America/Edmonton
27,Baie Comeau,71,A,Canada,CYBC,YBC,49.13249969482422,-68.20439910888672,Baie Comeau Airport,OurAirports,-5,airport,America/Toronto
28,Bagotville,522,A,Canada,CYBG,YBG,48.33060073852539,-70.99639892578125,CFB Bagotville,OurAirports,-5,airport,America/Toronto
29,Baker Lake,59,A,Canada,CYBK,YBK,64.29889678960001,-96.077796936,Baker Lake Airport,OurAirports,-6,airport,America/Winnipeg
30,Campbell River,346,A,Canada,CYBL,YBL,49.950801849365234,-125.27100372314453,Campbell River Airport,OurAirports,-8,airport,America/Vancouver
31,Brandon,1343,A,Canada,CYBR,YBR,49.91,-99.951897,Brandon Municipal Airport,OurAirports,-6,airport,America/Winnipeg
32,Cambridge Bay,90,A,Canada,CYCB,YCB,69.1081008911,-105.138000488,Cambridge Bay Airport,OurAirports,-7,airport,America/Edmonton
33,Nanaimo,92,A,Canada,CYCD,YCD,49.054970224899996,-123.869862556,Nanaimo Airport,OurAirports,-8,airport,America/Vancouver
34,Castlegar,1624,A,Canada,CYCG,YCG,49.2963981628,-117.632003784,Castlegar/West Kootenay Regional Airport,OurAirports,-8,airport,America/Vancouver
35,Chatham,108,A,Canada,CYCH,YCH,47.007801,-65.449203,Miramichi Airport,OurAirports,-4,airport,America/Halifax
36,Charlo,132,A,Canada,CYCL,YCL,47.990799,-66.330299,Charlo Airport,OurAirports,-4,airport,America/Halifax
37,Coppermine,74,A,Canada,CYCO,YCO,67.816704,-115.143997,Kugluktuk Airport,OurAirports,-7,airport,America/Edmonton
38,Coronation,2595,A,Canada,CYCT,YCT,52.0750007629,-111.444999695,Coronation Airport,OurAirports,-7,airport,America/Edmonton
39,Chilliwack,32,A,Canada,CYCW,YCW,49.1528015137,-121.939002991,Chilliwack Airport,OurAirports,-8,airport,America/Vancouver
40,Clyde River,87,A,Canada,CYCY,YCY,70.4860992432,-68.5167007446,Clyde River Airport,OurAirports,-5,airport,America/Toronto
41,Coral Harbour,210,A,Canada,CYZS,YZS,64.1932983398,-83.3593978882,Coral Harbour Airport,OurAirports,-5,airport,America/Coral_Harbour
42,Dawson,1215,A,Canada,CYDA,YDA,64.04309844970703,-139.1280059814453,Dawson City Airport,OurAirports,-8,airport,America/Vancouver
43,Burwash,2647,A,Canada,CYDB,YDB,61.37110137939453,-139.04100036621094,Burwash Airport,OurAirports,-8,airport,America/Vancouver
44,Princeton,2298,A,Canada,CYDC,\N,49.4681015015,-120.511001587,Princeton Airport,OurAirports,-8,airport,America/Vancouver
45,Deer Lake,72,A,Canada,CYDF,YDF,49.21080017089844,-57.39139938354492,Deer Lake Airport,OurAirports,-3.5,airport,America/St_Johns
46,Dease Lake,2600,A,Canada,CYDL,YDL,58.4221992493,-130.031997681,Dease Lake Airport,OurAirports,-8,airport,America/Vancouver
47,Dauphin,999,A,Canada,CYDN,YDN,51.100799560546875,-100.052001953125,Dauphin Barker Airport,OurAirports,-6,airport,America/Winnipeg
48,Dawson Creek,2148,A,Canada,CYDQ,YDQ,55.7422981262207,-120.18299865722656,Dawson Creek Airport,OurAirports,-7,airport,America/Dawson_Creek
49,Edmonton,2373,A,Canada,CYEG,YEG,53.309700012200004,-113.580001831,Edmonton International Airport,OurAirports,-7,airport,America/Edmonton
50,Eskimo Point,32,A,Canada,CYEK,YEK,61.0942001343,-94.07080078119999,Arviat Airport,OurAirports,-6,airport,America/Winnipeg
51,Estevan,1905,N,Canada,CYEN,YEN,49.2103004456,-102.966003418,Estevan Airport,OurAirports,-6,airport,America/Regina
52,Edson,3043,A,Canada,CYET,YET,53.578899383499994,-116.464996338,Edson Airport,OurAirports,-7,airport,America/Edmonton
53,Eureka,256,A,Canada,CYEU,YEU,79.9946975708,-85.814201355,Eureka Airport,OurAirports,-6,airport,America/Winnipeg
54,Inuvik,224,A,Canada,CYEV,YEV,68.30419921880001,-133.483001709,Inuvik Mike Zubko Airport,OurAirports,-7,airport,America/Edmonton
55,Iqaluit,110,A,Canada,CYFB,YFB,63.756402,-68.555801,Iqaluit Airport,OurAirports,-5,airport,America/Toronto
56,Fredericton,68,A,Canada,CYFC,YFC,45.868900299072266,-66.53720092773438,Fredericton Airport,OurAirports,-4,airport,America/Halifax
57,Forestville,293,A,Canada,CYFE,YFE,48.74610137939453,-69.09719848632812,Forestville Airport,OurAirports,-5,airport,America/Toronto
58,Flin Flon,997,A,Canada,CYFO,YFO,54.6781005859375,-101.68199920654297,Flin Flon Airport,OurAirports,-6,airport,America/Winnipeg
59,Fort Resolution,526,A,Canada,CYFR,YFR,61.1808013916,-113.690002441,Fort Resolution Airport,OurAirports,-7,airport,America/Edmonton
60,Fort Simpson,555,A,Canada,CYFS,YFS,61.76020050048828,-121.23699951171875,Fort Simpson Airport,OurAirports,-7,airport,America/Edmonton
61,Kingston,305,A,Canada,CYGK,YGK,44.22529983520508,-76.5969009399414,Kingston Norman Rogers Airport,OurAirports,-5,airport,America/Toronto
62,La Grande Riviere,639,A,Canada,CYGL,YGL,53.625301361083984,-77.7042007446289,La Grande Rivière Airport,OurAirports,-5,airport,America/Toronto
63,Gaspe,112,A,Canada,CYGP,YGP,48.7752990723,-64.4785995483,Gaspé (Michel-Pouliot) Airport,OurAirports,-5,airport,America/Toronto
64,Geraldton,1144,A,Canada,CYGQ,YGQ,49.77830123901367,-86.93939971923828,Geraldton Greenstone Regional Airport,OurAirports,-5,airport,America/Toronto
65,Iles De La Madeleine,35,A,Canada,CYGR,YGR,47.42470169067383,-61.778099060058594,Îles-de-la-Madeleine Airport,OurAirports,-5,airport,America/Toronto
66,Hudson Bay,1175,N,Canada,CYHB,YHB,52.8166999817,-102.310997009,Hudson Bay Airport,OurAirports,-6,airport,America/Regina
67,Dryden,1354,A,Canada,CYHD,YHD,49.831699,-92.744202,Dryden Regional Airport,OurAirports,-6,airport,America/Winnipeg
68,Holman Island,117,A,Canada,CYHI,YHI,70.76280212402344,-117.80599975585938,Ulukhaktok Holman Airport,OurAirports,-7,airport,America/Edmonton
69,Gjoa Haven,152,A,Canada,CYHK,YHK,68.635597229,-95.84970092770001,Gjoa Haven Airport,OurAirports,-7,airport,America/Edmonton
70,Hamilton,780,A,Canada,CYHM,YHM,43.173599243199995,-79.93499755859999,John C. Munro Hamilton International Airport,OurAirports,-5,airport,America/Toronto
71,Montreal,90,A,Canada,CYHU,YHU,45.5175018311,-73.4169006348,Montréal / Saint-Hubert Airport,OurAirports,-5,airport,America/Toronto
72,Hay River,541,A,Canada,CYHY,YHY,60.8396987915,-115.782997131,Hay River / Merlyn Carter Airport,OurAirports,-7,airport,America/Edmonton
73,Halifax,477,A,Canada,CYHZ,YHZ,44.8807983398,-63.5085983276,Halifax / Stanfield International Airport,OurAirports,-4,airport,America/Halifax
74,Atikokan,1408,A,Canada,CYIB,YIB,48.7738990784,-91.6386032104,Atikokan Municipal Airport,OurAirports,-5,airport,America/Coral_Harbour
75,Pond Inlet,181,A,Canada,CYIO,YIO,72.6832962036,-77.9666976929,Pond Inlet Airport,OurAirports,-5,airport,America/Toronto
76,St. Jean,136,A,Canada,CYJN,YJN,45.29439926147461,-73.28109741210938,St Jean Airport,OurAirports,-5,airport,America/Toronto
77,Stephenville,84,A,Canada,CYJT,YJT,48.5442008972168,-58.54999923706055,Stephenville Airport,OurAirports,-3.5,airport,America/St_Johns
78,Kamloops,1133,A,Canada,CYKA,YKA,50.7022018433,-120.444000244,Kamloops Airport,OurAirports,-8,airport,America/Vancouver
79,Waterloo,1055,A,Canada,CYKF,YKF,43.460800170899994,-80.3786010742,Waterloo Airport,OurAirports,-5,airport,America/Toronto
80,Schefferville,1709,A,Canada,CYKL,YKL,54.805301666259766,-66.8052978515625,Schefferville Airport,OurAirports,-5,airport,America/Toronto
81,Kindersley,2277,N,Canada,CYKY,YKY,51.5175018311,-109.180999756,Kindersley Airport,OurAirports,-6,airport,America/Regina
82,Toronto,650,A,Canada,CYKZ,YKZ,43.86220169067383,-79.37000274658203,Buttonville Municipal Airport,OurAirports,-5,airport,America/Toronto
83,Chapleau,1470,A,Canada,CYLD,YLD,47.81999969482422,-83.3467025756836,Chapleau Airport,OurAirports,-5,airport,America/Toronto
84,Meadow Lake,1576,N,Canada,CYLJ,YLJ,54.125301361083984,-108.52300262451172,Meadow Lake Airport,OurAirports,-6,airport,America/Regina
85,Lloydminster,2193,A,Canada,CYLL,YLL,53.309200286865234,-110.072998046875,Lloydminster Airport,OurAirports,-7,airport,America/Edmonton
86,Alert,100,A,Canada,CYLT,YLT,82.51779937740001,-62.2806015015,Alert Airport,OurAirports,-5,airport,America/Toronto
87,Kelowna,1421,A,Canada,CYLW,YLW,49.9561004639,-119.377998352,Kelowna International Airport,OurAirports,-8,airport,America/Vancouver
88,Mayo,1653,A,Canada,CYMA,YMA,63.61640167236328,-135.8679962158203,Mayo Airport,OurAirports,-8,airport,America/Vancouver
89,Moose Jaw,1892,N,Canada,CYMJ,YMJ,50.330299377441406,-105.55899810791016,Moose Jaw Air Vice Marshal C. M. McEwen Airport,OurAirports,-6,airport,America/Regina
90,Fort Mcmurray,1211,A,Canada,CYMM,YMM,56.653301239,-111.222000122,Fort McMurray Airport,OurAirports,-7,airport,America/Edmonton
91,Moosonee,30,A,Canada,CYMO,YMO,51.291099548339844,-80.60780334472656,Moosonee Airport,OurAirports,-5,airport,America/Toronto
92,Maniwaki,656,A,Canada,CYMW,YMW,46.2728004456,-75.9906005859,Maniwaki Airport,OurAirports,-5,airport,America/Toronto
93,Montreal,270,A,Canada,CYMX,YMX,45.679501,-74.038696,Montreal International (Mirabel) Airport,OurAirports,-5,airport,America/Toronto
94,Natashquan,39,A,Canada,CYNA,YNA,50.189998626708984,-61.78919982910156,Natashquan Airport,OurAirports,-5,airport,America/Toronto
95,Gatineau,211,A,Canada,CYND,YND,45.521701812699995,-75.5635986328,Ottawa / Gatineau Airport,OurAirports,-5,airport,America/Toronto
96,Matagami,918,A,Canada,CYNM,YNM,49.76169967651367,-77.80280303955078,Matagami Airport,OurAirports,-5,airport,America/Toronto
97,Old Crow,824,A,Canada,CYOC,YOC,67.57060241699219,-139.83900451660156,Old Crow Airport,OurAirports,-8,airport,America/Vancouver
98,Cold Lake,1775,A,Canada,CYOD,YOD,54.404998779296875,-110.27899932861328,CFB Cold Lake,OurAirports,-7,airport,America/Edmonton
99,High Level,1110,A,Canada,CYOJ,YOJ,58.62139892578125,-117.16500091552734,High Level Airport,OurAirports,-7,airport,America/Edmonton
100,Ottawa,374,A,Canada,CYOW,YOW,45.3224983215332,-75.66919708251953,Ottawa Macdonald-Cartier International Airport,OurAirports,-5,airport,America/Toronto
101,Prince Albert,1405,N,Canada,CYPA,YPA,53.214199066199996,-105.672996521,Prince Albert Glass Field,OurAirports,-6,airport,America/Regina
102,Peace River,1873,A,Canada,CYPE,YPE,56.226898,-117.446999,Peace River Airport,OurAirports,-7,airport,America/Edmonton
103,Portage-la-prairie,885,A,Canada,CYPG,YPG,49.903099,-98.273817,Southport Airport,OurAirports,-6,airport,America/Winnipeg
104,Pitt Meadows,11,A,Canada,CYPK,\N,49.21609878540039,-122.70999908447266,Pitt Meadows Airport,OurAirports,-8,airport,America/Vancouver
105,Pickle Lake,1267,A,Canada,CYPL,YPL,51.4463996887207,-90.21420288085938,Pickle Lake Airport,OurAirports,-5,airport,America/Coral_Harbour
106,Port Menier,167,A,Canada,CYPN,YPN,49.83639907836914,-64.2885971069336,Port Menier Airport,OurAirports,-5,airport,America/Toronto
107,Peterborough,628,A,Canada,CYPQ,YPQ,44.22999954223633,-78.36329650878906,Peterborough Airport,OurAirports,-5,airport,America/Toronto
108,Prince Pupert,116,A,Canada,CYPR,YPR,54.286098480199996,-130.445007324,Prince Rupert Airport,OurAirports,-8,airport,America/Vancouver
109,Fort Chipewyan,761,A,Canada,CYPY,YPY,58.7672004699707,-111.11699676513672,Fort Chipewyan Airport,OurAirports,-7,airport,America/Edmonton
110,Muskoka,925,A,Canada,CYQA,YQA,44.974700927734375,-79.30329895019531,Muskoka Airport,OurAirports,-5,airport,America/Toronto
111,Quebec,244,A,Canada,CYQB,YQB,46.7911,-71.393303,Quebec Jean Lesage International Airport,OurAirports,-5,airport,America/Toronto
