MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220628,High Plains,"164,036.24","345,328.79","271,188.35","136,670.03","28,657.82","1,085.64",2022-06-28,2022-07-04,1
20220628,Midwest,"277,405.97","221,459.33","35,334.16","4,135.76",887.93,0.00,2022-06-28,2022-07-04,1
20220628,Northeast,"143,561.99","59,533.20","15,150.23",0.00,0.00,0.00,2022-06-28,2022-07-04,1
20220628,South,"96,752.33","428,222.97","288,096.93","193,421.36","123,836.36","42,978.32",2022-06-28,2022-07-04,1
20220628,Southeast,"102,105.56","188,236.03","75,719.03","14,271.29",0.00,0.00,2022-06-28,2022-07-04,1
20220628,West,"488,784.30","1,286,281.90","993,034.24","719,183.71","384,932.62","72,578.86",2022-06-28,2022-07-04,1
20220621,High Plains,"153,927.16","355,437.87","273,974.84","133,934.33","34,027.23","1,088.48",2022-06-21,2022-06-27,1
20220621,Midwest,"375,282.34","123,582.96","13,211.04","3,281.07",0.00,0.00,2022-06-21,2022-06-27,1
20220621,Northeast,"167,804.13","35,291.06","4,826.06",0.00,0.00,0.00,2022-06-21,2022-06-27,1
20220621,South,"157,613.85","367,361.45","261,013.08","193,154.55","124,214.27","46,395.84",2022-06-21,2022-06-27,1
20220621,Southeast,"147,507.75","142,833.84","49,805.46","7,475.78",0.00,0.00,2022-06-21,2022-06-27,1
20220621,West,"452,961.06","1,322,105.14","978,638.44","724,417.09","435,125.35","121,666.29",2022-06-21,2022-06-27,1
20220614,High Plains,"155,254.47","354,110.56","273,866.74","125,073.87","37,285.68","1,088.48",2022-06-14,2022-06-20,1
20220614,Midwest,"451,783.17","47,082.13","5,256.94","1,947.68",0.00,0.00,2022-06-14,2022-06-20,1
20220614,Northeast,"176,068.48","27,026.71","4,826.06",0.00,0.00,0.00,2022-06-14,2022-06-20,1
20220614,South,"195,669.65","329,305.65","253,109.89","191,577.00","120,585.51","45,524.08",2022-06-14,2022-06-20,1
20220614,Southeast,"196,305.21","94,036.38","34,235.53","7,234.39",0.00,0.00,2022-06-14,2022-06-20,1
20220614,West,"445,950.91","1,329,115.28","989,151.99","728,441.48","453,788.93","121,723.65",2022-06-14,2022-06-20,1
20220607,High Plains,"134,505.14","374,859.89","300,933.49","135,547.12","39,892.91","1,744.65",2022-06-07,2022-06-13,1
20220607,Midwest,"453,305.51","45,559.79","3,903.65","1,232.66",0.00,0.00,2022-06-07,2022-06-13,1
20220607,Northeast,"173,941.93","29,153.26","4,533.03",0.00,0.00,0.00,2022-06-07,2022-06-13,1
20220607,South,"205,961.90","319,013.40","254,339.30","198,807.87","116,486.88","43,083.93",2022-06-07,2022-06-13,1
20220607,Southeast,"212,118.53","78,223.07","31,054.20","9,295.23",0.00,0.00,2022-06-07,2022-06-13,1
20220607,West,"448,625.32","1,326,440.88","1,003,493.25","757,388.95","452,696.49","119,431.47",2022-06-07,2022-06-13,1
20220531,High Plains,"119,158.96","390,206.07","333,525.80","157,846.33","43,302.54","3,869.65",2022-05-31,2022-06-06,1
